t,V10,V47k,V94k,V220k,V672k
-0.00002182,-0.0028,0.0028,0.0072,-0.0052,0.0016
-0.0000218,-0.006,0.002,0.0028,-0.0088,0.0024
-0.00002178,-0.0084,0.0032,0.0008,-0.0056,-0.0008
-0.00002176,-0.0004,0.006,-0.0008,-0.0052,-0.0008
-0.00002174,-0.0008,0.0028,-0.0004,-0.002,-0.0044
-0.00002172,0.0084,0.0072,-0.0016,0.0012,-0.0016
-0.0000217,0.0048,0.0028,-0.0008,0.0068,-0.0024
-0.00002168,0.0088,0.0044,-0.0016,0.0088,-0.0012
-0.00002166,0.002,0.0036,0.0004,0.0092,0.002
-0.00002164,0.0024,0.0028,-0.0008,0.0072,0.004
-0.00002162,-0.0028,0.0028,-0.0012,0,0.0052
-0.0000216,-0.006,0.0008,-0.0024,-0.0008,0.0044
-0.00002158,-0.0048,-0.0016,0.0008,-0.0052,-0.0016
-0.00002156,-0.0048,-0.0016,0.0052,-0.0112,-0.0012
-0.00002154,0.0028,-0.0052,0.0068,-0.0092,-0.006
-0.00002152,0.0004,-0.0028,0.0088,-0.0096,-0.0024
-0.0000215,0.0056,-0.0032,0.0024,0.0012,-0.01
-0.00002148,0.0028,0.0004,0.0024,0,-0.0016
-0.00002146,0.004,0.0044,-0.0036,0.0064,-0.0032
-0.00002144,-0.0032,0.0064,-0.0052,0,0.0044
-0.00002142,-0.0052,0.0068,-0.0088,0.0076,0.0012
-0.0000214,-0.0104,0.0004,-0.0112,0.0024,0.0012
-0.00002138,-0.0092,0.0008,-0.0056,0.0036,-0.0024
-0.00002136,-0.006,-0.0056,-0.0036,0,-0.0032
-0.00002134,0,-0.004,0.0028,-0.0012,-0.0024
-0.00002132,0.0032,-0.0092,0,0.0024,-0.0008
-0.0000213,0.0024,-0.006,0.004,0.0008,0.0032
-0.00002128,0.0032,-0.0084,-0.0004,-0.0016,0.0044
-0.00002126,0.0012,-0.0016,-0.0004,-0.0036,0.0076
-0.00002124,-0.0004,-0.0008,-0.0016,-0.0016,0.0068
-0.00002122,-0.0048,0.0056,-0.0012,-0.0016,0.0028
-0.0000212,-0.0024,0.0008,-0.0028,0,-0.0024
-0.00002118,-0.0044,0.0024,-0.0004,0.0012,-0.006
-0.00002116,0.0036,-0.0024,0.0028,0.0052,-0.0076
-0.00002114,0.0004,-0.0024,0.0036,0.0036,-0.0056
-0.00002112,0.0064,-0.0052,-0.0004,0.0056,-0.0036
-0.0000211,-0.002,-0.0028,-0.0028,0.0036,0.002
-0.00002108,0.0004,-0.0016,-0.0036,0.0032,0.0044
-0.00002106,-0.0032,0.0048,-0.0076,-0.0024,0.0108
-0.00002104,0.0012,0.0076,-0.0044,-0.0012,0.0092
-0.00002102,-0.0016,0.008,-0.0068,-0.0024,0.0072
-0.000021,0.0008,0.0008,0.0024,0.0008,0.0008
-0.00002098,0.0028,-0.0032,0.0028,0,-0.0012
-0.00002096,0.0032,-0.0084,0.0124,0.0032,-0.0052
-0.00002094,0.006,-0.0084,0.0032,0.0024,-0.008
-0.00002092,0.002,-0.0052,0.008,0.002,-0.006
-0.0000209,0.0068,-0.0052,-0.0024,-0.0004,-0.0048
-0.00002088,-0.002,0.0024,-0.0008,-0.0068,0.0024
-0.00002086,0,0.004,-0.0088,-0.0096,0.004
-0.00002084,-0.0052,0.008,-0.0088,-0.008,0.0048
-0.00002082,-0.0012,0.004,-0.0096,-0.0032,0.0056
-0.0000208,-0.004,0.0008,-0.0052,0.0028,-0.0028
-0.00002078,0.002,-0.0016,-0.002,0.0048,-0.0016
-0.00002076,0.0016,-0.0016,-0.0004,0.0068,-0.004
-0.00002074,0.0028,-0.0048,0.0044,0.0068,-0.0016
-0.00002072,-0.0016,-0.0088,0.0024,0.0052,-0.0028
-0.0000207,-0.0008,-0.0044,0.0052,-0.0028,0.0032
-0.00002068,-0.002,-0.002,-0.0004,-0.0068,0.0044
-0.00002066,-0.0028,0.0028,-0.0004,-0.0072,0.0056
-0.00002064,-0.0024,0.0028,-0.0072,-0.0032,0.0028
-0.00002062,-0.0024,0.004,-0.0048,-0.006,0.0024
-0.0000206,0.0048,0.0012,-0.0036,-0.0048,0
-0.00002058,0.0044,0.004,-0.0004,0,0.0028
-0.00002056,0.0092,0,-0.0008,0.0108,0.0028
-0.00002054,0.0052,0,0.0004,0.0092,0.0028
-0.00002052,0.0044,-0.0012,-0.0004,0.0108,0.006
-0.0000205,-0.0036,0.0032,-0.0008,0.004,0.008
-0.00002048,-0.0056,0.0064,-0.0056,0.002,0.0104
-0.00002046,-0.01,0.0056,-0.0032,-0.0048,0.008
-0.00002044,-0.006,0.0036,-0.004,-0.006,0.0072
-0.00002042,-0.006,0.0028,0.0028,-0.0104,0.0044
-0.0000204,0.0076,0.002,0.0048,-0.0028,0.0068
-0.00002038,0.0076,0.0024,0.006,-0.0028,0.0072
-0.00002036,0.0132,-0.0012,0.004,0.0044,0.0064
-0.00002034,0.008,0.0052,0.002,0.0028,0.006
-0.00002032,0.008,0.002,-0.0004,0.0016,0.0056
-0.0000203,-0.0008,0.008,-0.0016,0.0008,0.0076
-0.00002028,-0.0044,0.0028,-0.0032,-0.0048,0.0068
-0.00002026,-0.0072,0.0044,-0.002,-0.0044,0.0044
-0.00002024,-0.0084,-0.0008,-0.0032,-0.01,0.0028
-0.00002022,-0.0032,0.0016,0.004,-0.0044,0.0032
-0.0000202,-0.002,-0.0024,0.0032,-0.0048,0.0056
-0.00002018,0.0024,0,0.0048,0.002,0.0056
-0.00002016,-0.0016,-0.0036,0.002,0.0016,0.0084
-0.00002014,0.0004,0.0008,-0.0012,0.0052,0.01
-0.00002012,-0.0028,0.0008,-0.0016,0.0008,0.0108
-0.0000201,-0.0044,0.0068,-0.0032,0.0016,0.0108
-0.00002008,-0.0084,0.002,-0.0024,0.0008,0.0072
-0.00002006,-0.0072,0.0032,0.0004,0.0004,0.0048
-0.00002004,-0.0056,-0.004,0.0024,0.0016,0.0032
-0.00002002,0.0004,-0.0024,0.008,-0.002,0.004
-0.00002,0.0004,-0.006,0.0028,0.0032,0.0064
-0.00001998,0.0048,-0.0036,0.0016,0.006,0.0092
-0.00001996,0,-0.0036,-0.0056,0.0088,0.0132
-0.00001994,0.002,0.0024,-0.0048,0.0032,0.0156
-0.00001992,-0.0064,0.0036,-0.0056,0.0024,0.0176
-0.0000199,-0.0044,0.0072,-0.0024,0.0012,0.0136
-0.00001988,-0.0116,0.0016,-0.0032,0.0016,0.0092
-0.00001986,-0.0056,0.0016,0.0012,0.006,0.006
-0.00001984,-0.0044,-0.0076,0.0036,0.0036,0.0048
-0.00001982,0.0016,-0.0024,0.0088,0.004,0.0088
-0.0000198,0.0048,-0.0084,0.0032,0.0032,0.0084
-0.00001978,0.006,-0.0024,0.0048,0.0048,0.014
-0.00001976,0.0088,-0.002,-0.0008,-0.0004,0.0132
-0.00001974,0.0036,0.0044,0.0004,-0.0032,0.0188
-0.00001972,0.0064,0.006,-0.004,-0.006,0.016
-0.0000197,-0.002,0.0044,-0.0052,-0.0048,0.0172
-0.00001968,0.0016,0.004,-0.0064,0.0024,0.0092
-0.00001966,-0.0016,-0.004,-0.0008,-0.0012,0.0064
-0.00001964,0.002,-0.0016,0.0028,0.0036,0.0048
-0.00001962,0.002,-0.0068,0.008,-0.0012,0.006
-0.0000196,0,-0.0048,0.0076,0.0036,0.006
-0.00001958,-0.0016,-0.0056,0.0076,-0.0004,0.008
-0.00001956,-0.0032,-0.0004,0.0036,-0.0024,0.0112
-0.00001954,-0.004,0.0016,-0.0028,-0.0048,0.014
-0.00001952,-0.0024,0.0052,-0.0056,-0.008,0.0116
